強い磁場を持ちながら回転し、電波やX線などを放射する天体のことを何というでしょう？,パルサー
トマトとバジルのように、近くで栽培することで互いの成長に良い影響を与え合う植物のことを何というでしょう？,コンパニオンプランツ
収納スペースにモノがすっぽりと収まることを、ある童話に例えた表現で何というでしょう？,シンデレラフィット
静養のためにバカンス先を訪れた作家が、ホテルで出会った美少年に魅せられていくという内容の、トマス・マンの小説は何でしょう？,『ヴェニスに死す』
サンソン図法やモルワイデ図法など、地球上の面積を正しく反映した図法のことを何というでしょう？,正積図法
屈折率の差を明暗の差に変えることで観察を行う、物理学者ゼルニケが発明した顕微鏡は何でしょう？,位相差顕微鏡
「エジプトはナイルの賜物」という言葉も有名な古代ギリシャの歴史家は誰でしょう？,ヘロドトス
バブル時代に被害が急増した、土地の所有者になりすまして金銭を騙し取る詐欺の手法を何というでしょう？,地面師
「ビエント・ブランコ」と呼ばれる悪天候が登山家にとっての脅威となる、南米大陸の最高峰であるアンデス山脈の山は何でしょう？,アコンカグア
玄宗皇帝が梨を植えた庭園で芸能を教えたという故事に由来して、現在では「歌舞伎の世界」を意味する言葉は何でしょう？,梨園
菅原道真が立ち寄った際の年齢に由来する57段の石段が参道に設けられた、「日本最初の天神さま」として知られる神社は何でしょう？,防府天満宮
「220と284」などが代表的な、自身を除いた約数の和が互いに等しくなるような数のことを何というでしょう？,友愛数
昨年から発行された新紙幣にも偽造防止技術として取り入れられている、３次元像を記録する技術を何というでしょう？,ホログラフィ
近世には神道の正統性を主張する言葉として重要視された、「神のみこころのままに」という意味の熟語は何でしょう？,かんながら
古代エジプトでは「太陽の石」と呼ばれた、鮮やかなオリーブグリーン色をした鉱石は何でしょう？,ペリドット
清朝末期に廃止されるまで1300年以上続いた、かつて中国で行われていた官吏登用試験は何でしょう？,科挙
北アフリカでは「フォガラ」とも呼ばれる、イランなどの西アジアの国で利用される地下水路を何というでしょう？,カナート
ホメロスの叙事詩に影響され発掘活動に志した、トロイア遺跡の発掘なを行なったドイツの考古学者は誰でしょう？,ハインリヒ・シュリーマン
水族館などに設置され、来場者が直接海の生き物に触れられる体験型の水槽を何というでしょう？,タッチプール
売上などの財務情報に加えて、環境、社会、企業統治の３つの観点に配慮して投資を行うことを何というでしょう？,ESG投資
博物館を表す地図記号のモチーフとなっている、上野公園内にある日本最古の博物館は何でしょう？,東京国立博物館
画家フェルメールの遺産管財人も務めた、自作の顕微鏡を用いて細菌などを観察したオランダの博物学者は誰でしょう？,レーウェンフック
ソーシャルメディアなどで、自分や他人の個人情報を過度に共有してしまうことを英語で何というでしょう？,オーバーシェア
登場人物たちが契りを交わす「おおかわばたの場」が特に有名な、河竹黙阿弥の浄瑠璃作品は何でしょう？,『三人吉三』
16世紀末には「世界の半分」と呼ばれるまでに繁栄した、イランの王朝 サファヴィー朝の首都が置かれた都市はどこでしょう？,イスファハーン
現在でも正月によく流される、そうきょくかの宮城道雄が手がけた曲は何でしょう？,『春の海』
フランス語において、通常は発音されない語尾の子音が、直後の母音と結びついて発音される現象を何というでしょう？,リエゾン
かつてなめし剤として使われていたことに由来する名前を持つ、赤ワインの色や渋みの元となっているポリフェノールの一種は何でしょう？,タンニン
スポーツにおいて、将来の活躍が期待される有望選手のことを「見通し」を意味する英語で何というでしょう？,プロスペクト
個人の経験や勘に基づいており他人に言葉で説明できない知識のことを何というでしょう？,暗黙知
物流の面では雑誌に近い扱いを受けるものの、内容自体は書籍に近い刊行物のことを何というでしょう？,ムック
健康上の問題が理由で生産性が低下している状態のことを何というでしょう？,プレゼンティーイズム
累進課税制度など、経済の安定のために自動的に作用する制度のことを英語で何というでしょう？,ビルトインスタビライザー
家族を持つことで、現実的で地に足がついたような考え方をするようになることを「何じみる」というでしょう？,所帯じみる
集団で行うツーリングで、複数台のバイクが互い違いに並んで走行する方法を何というでしょう？,千鳥走行
家で余った食材などを施設に寄付し、食料に困っている人たちを助ける運動を何というでしょう？,フードドライブ
人物や風景の錦絵を切り抜いて組み立てることで作品の立体感を楽しむ、江戸時代に流行した「おもちゃ絵」は何でしょう？,たてばんこ
1324年、後醍醐天皇が側近の日野すけともらとともに鎌倉幕府の討幕を企てた政変は何でしょう？,正中の変
自分自身に対してポジティブな言葉を投げかけることで自己肯定感を高める方法を何というでしょう？,アファメーション
競争が激しい中国社会において、必要最低限の収入を確保して自分が楽しめる時間を過ごす若者を「何族」というでしょう？,寝そべり族
音楽アルバムなどのタイトルに、アーティスト自身の名前をそのまま用いることを何というでしょう？,セルフタイトル
期間中は外部との連絡が禁じられる、カトリック教会において新たなローマ教皇を決める選挙を何というでしょう？,コンクラーベ
利用者が意図しない操作を強制させるようなWebデザインのことを何というでしょう？,ダークパターン
流体の流れの中では、流れる速度が大きい箇所ほど圧力は小さくなるという定理を「誰の定理」というでしょう？,ベルヌーイの定理
文化財を指定する際に、関連する物品や資料もあわせて文化財指定することを何というでしょう？,つけたり指定
大型であったひがき廻船を速さで圧倒した、江戸時代に大阪から江戸へ酒を運ぶために作られた船を何というでしょう？,樽廻船
実際には性的マイノリティではないのにも関わらず、性的指向の曖昧さをほのめかして世間からの注目を集める手法を何というでしょう？,クィアベイティング
標高1200mを超える高地で生産される紅茶のことを何というでしょう？,ハイグロウンティー
デジタル時計などで文字や数字を表現する際に用いられる最小の表示単位のことを何というでしょう？,セグメント
漫画制作の用語で、細く均一な線を一定の間隔で引くことで濃淡を表現することを何というでしょう？,カケアミ
紙に直接絵の具を垂らして作品を制作するアート手法を何というでしょう？,ドリッピング
加齢などの原因によって筋力が落ち、身体能力が低下した状態のことを何というでしょう？,サルコペニア
モータースポーツにおいて、フォーメーションラップの後に静止することなくそのままスタートする方式を何というでしょう？,ローリングスタート
昭和初期の日本で当時の社会不安を反映して制作された映画を何というでしょう？,傾向映画
複数年契約を結んだ野球選手が、自身の契約内容を見直したり破棄したりすることができる権利を何というでしょう？,オプトアウト
樹状突起と軸索の間に形成される、神経細胞同士の電気信号の伝達を媒介する部位は何でしょう？,シナプス
元老院でコンスルから指名され軍事を中心に全権を掌握した、古代ローマにおいて非常時に独立的地位を与えられた政務官を何というでしょう？,ディクタトル
ガやトンボが風に逆らって飛ぶように、生物が外部からの刺激に対して特定の方向に運動する性質を「何性」というでしょう？,走性
言語学で、実際の正しさよりも「実際に使われているか」に注目した文法のことを何というでしょう？,記述文法
目の中に小さなコンタクトレンズを挿入することで視力の回復を目指す、人気の視力矯正手術は何でしょう？,ICL
動脈硬化などが原因で、人体の組織に血液が十分に行き届かなくなることを漢字２文字で何というでしょう？,虚血
古い時代に書かれた文字を現代の文字に書き換えることを何というでしょう？,翻刻
事故などによって車にきずや窪みなどが生じてしまった際に、専用の機器などを用いて復元する作業のことを何というでしょう？,板金
士族に対する給料の支給を廃止する代わりとして公債を与えた、明治政府が行った政策は何でしょう？,秩禄処分
短い時間で連続して技を繰り出すことで体力の向上や技術の習得などを目指す剣道の稽古を何というでしょう？,掛かり稽古
海外のホテルなどに設けられている、使用していない間は壁に収納することができるベッドのことを何というでしょう？,マーフィーベッド
マーケティングにおいて、見込みのある顧客との関係を深め、商品に対する購買意欲を高める活動のことを何というでしょう？,ナーチャリング
先端にダイヤモンドがついた専用のペンを用いて、ガラスの表面に点や線を彫刻する技法を何というでしょう？,グラスリッツェン
医療業界で使われるマスクや注射器などの使い捨て品のことを何というでしょう？,ディスポーザブル品
力士と同様に各相撲部屋に所属する、支度部屋で力士の髷を結う職業は何でしょう？,床山
企業経営の最終目標として設定される「重要目標達成指標」のことを、アルファベット３文字で何というでしょう？,KGI
腎臓での水の再吸収を促し尿量を調節する作用がある、脳下垂体後葉から分泌されるホルモンは何でしょう？,バソプレシン
出入り口付近にエアシャワーなどを設置することで、外部からのゴミが持ち込まれないようにした部屋のことを何というでしょう？,クリーンルーム
咳払いの音や咀嚼音などの日常の特定の音に対して強い嫌悪感を感じてしまう障害のことを何というでしょう？,ミソフォニア
腰回りがゆったりしていて、裾に向かうにつれ細くなるシルエットのパンツのことを「何パンツ」というでしょう？,テーパードパンツ
視覚障がい者が行う陸上競技において、声やロープを用いて選手をサポートする走者のことを何というでしょう？,ガイドランナー
体を倒しながらボールを投じるハンドボールのシュートの一種は何でしょう？,プロンジョンシュート
ある曲のフレーズが無意識に頭の中で流れ続けてしまうことを何というでしょう？,イヤーワーム
電化製品を使用していない時に消費される電力を何というでしょう？,待機電力
ビジネスの世界で企画の原案などの意味で用いられる、職人が刀を作るときに使う道具に由来する言葉は何でしょう？,たたき台
登山において、整備がされておらず危険度が高いルートのことを、地図上での表記法に由来して何というでしょう？,破線ルート
毎年６月頃に閣議決定される、政権の重要事項や基本的な方向性を示した指針を何というでしょう？,骨太の方針
江戸時代の遊びで使われた型紙に由来する、新鮮味がなく型にはまった常套句を指す言葉は何でしょう？,紋切り型
太陽よりも重い恒星が崩壊する際に発生する、大量の X 線やガンマ線が放出される現象は何でしょう？,ガンマ線バースト
お寺や神社で、参拝する人や僧侶が宿泊するために作られた施設を何というでしょう？,宿坊
輸送業界において、車両や船舶を休みなく往復させ、人や物を次々と送ることを「何輸送」というでしょう？,ピストン輸送
避難食の容器として用いられることも多い、底の部分に折り込みを持たせ自立できるようにした袋のことを何というでしょう？,スタンディングパウチ
特に目立つ４つの星々は太陽の数十倍の質量を持つ、オリオン大星雲の中心部に位置する恒星の集合を何というでしょう？,トラペジウム
自転車レースにおける砂道のことを何というでしょう？,グラベル
３Dメガネなどに応用されている、カラーフィルタに通すことで画像を分離する技術を何というでしょう？,アナグリフ
ソ連からの支援を失った中国で毛沢東が主導した、農民を総動員して農工業を発展させる政策を何というでしょう？,大躍進
教師が生徒の様子を確認し、それぞれの進捗に合わせて授業を展開する指導法を何というでしょう？,きかん指導
タカなどの鳥が消化できなかったものを外に吐き出す性質を何というでしょう？,ペリット
世界各地の政治家がどれほど汚職していると判断できるかを表す指標は何でしょう？,腐敗認識指数
自身の思考と矛盾した認知を抱えることで不安感を覚えた状態を何というでしょう？,認知的不協和
企業がどれだけ地球温暖化対策に取り組んでいるかの指標となる、サプライチェーンでどれだけ温室効果ガスが排出されたかを示す指標は何でしょう？,GHGプロトコル
生物が環境に適応するにつれ、よく使用する器官は発達し、使用しない器官は縮小するという、生物学者のラマルクが提唱した学説は何でしょう？,用不用説
新石器時代に１本の木をくり抜いて作られた船を何というでしょう？,丸木舟
ゲームで使用されるアイテムなどを現実の通貨で売買する行為を何というでしょう？,リアルマネートレード
,
