紙に直接絵の具を垂らして作品を制作するアート手法を何というでしょう？,ドリッピング,ポーリング,スパッタリング,コラージュ
健康上の問題が理由で生産性が低下している状態のことを何というでしょう？,プレゼンティーイズム,アブセンティーイズム,ワーカホリック,バーンアウト
実際には性的マイノリティではないのにも関わらず、性的指向の曖昧さをほのめかして世間からの注目を集める手法を何というでしょう？,クィアベイティング,ピンクウォッシング,ジェンダーフック,イミテーション
16世紀末には「世界の半分」と呼ばれるまでに繁栄した、イランの王朝 サファヴィー朝の首都が置かれた都市はどこでしょう？,イスファハーン,テヘラン,イスタンブール,タブリーズ
利用者が意図しない操作を強制させるようなWebデザインのことを何というでしょう？,ダークパターン,ブラックハット,クリックベイト,バッドノウハウ
自分自身に対してポジティブな言葉を投げかけることで自己肯定感を高める方法を何というでしょう？,アファメーション,アサーション,マインドフルネス,セルフコンパッション
哲学の思考実験の一つで、「もしある人物の細胞が徐々に別の物質に置き換えられ、最終的にすべて入れ替わったとしても、その人物は同一人物と言えるか？」という問いを何というでしょう？,テセウスの船,スワンプマン,シミュレーション仮説,中国語の部屋
人物や風景の錦絵を切り抜いて組み立てることで作品の立体感を楽しむ、江戸時代に流行した「おもちゃ絵」は何でしょう？,立版古,錦絵,浮世絵,判じ絵
ガやトンボが風に逆らって飛ぶように、生物が外部からの刺激に対して特定の方向に運動する性質を「何性」というでしょう？,走性,屈性,順性,光性
古い時代に書かれた文字を現代の文字に書き換えることを何というでしょう？,翻刻,影印,釈文,拓本
動物が、成体になっても幼生や幼体の形態や特徴を保持し続ける現象のことを何というでしょう？,ネオテニー,メタモルフォーゼ,アタビズム,ポリモーフィズム
1324年、後醍醐天皇が側近の日野資朝（すけとも）らとともに鎌倉幕府の討幕を企てた政変は何でしょう？,正中の変,元弘の変,承久の乱,嘉吉の乱
輸送業界において、車両や船舶を休みなく往復させ、人や物を次々と送ることを「何輸送」というでしょう？,ピストン輸送,シャトル輸送,フィーダー輸送,リレー輸送
文化財を指定する際に、関連する物品や資料もあわせて文化財指定することを何というでしょう？,つけたり指定,ふたい指定,関連指定,一括指定
強い磁場を持ちながら回転し、電波やX線などを放射する天体のことを何というでしょう？,パルサー,クエーサー,マグネター,ブレーザー
「エジプトはナイルの賜物」という言葉も有名な古代ギリシャの歴史家は誰でしょう？,ヘロドトス,トゥキディデス,クセノポン,アリストテレス
医療業界で使われるマスクや注射器などの使い捨て品のことを何というでしょう？,ディスポーザブル品,サニタリー品,コンシューマブル品,アメニティ品
太陽よりも重い恒星が崩壊する際に発生する、大量の X 線やガンマ線が放出される現象は何でしょう？,ガンマ線バースト,超新星爆発,ビッグクランチ,X線バースト
